,user_id,creation_date,last_access_date,reputation,location
13790,34747,1225902354,1486140970,2282,Rio de Janeiro Brazil
13791,58634,1232820870,1486020699,2282,no_location
13792,24,1217592773,1485881740,2281,London United Kingdom
13793,11002,1221537117,1486015302,2281,Sydney Australia
13794,31015,1224804276,1486135199,2281,Dallas TX
13795,35685,1226109278,1485633238,2279,Lithuania
13796,48120,1229859067,1486073595,2279,Germany
13797,346,1217885440,1486069772,2277,San Francisco CA
13798,8344,1221493508,1481058571,2277,Cary NC
13799,44732,1228853677,1486142002,2277,Illinois
13800,36607,1226417156,1338817223,539,no_location
13801,38239,1226931096,1486133355,539,Paris France
13802,47606,1229647946,1458666217,539,United States
13803,47817,1229703798,1444304620,539,no_location
13804,8083,1221491297,1486053356,538,England United Kingdom
13805,14834,1221621401,1237825743,538,no_location
13806,27810,1223982817,1486147401,538,Calgary Canada
13807,45402,1229012605,1485963970,538,Italy
13808,47868,1229714716,1404323464,538,Regina Canada
13809,8697,1221496645,1486146983,537,no_location
13810,16820,1221685631,1486084039,537,Louisiana
13811,20437,1222090193,1485443758,537,Brandon FL
13812,24063,1222854606,1485967483,537,London United Kingdom
13813,27783,1223976333,1453883508,537,Edinburgh United Kingdom
13814,30525,1224707718,1486081906,537,no_location
13815,39292,1227183421,1485514578,537,Ukraine
13816,2344,1219342748,1486046363,536,Berlin Germany
